task,area of research,notable human research,Human Feasibility,Research Significance,Current AI Replaceability,AI Replaceability in 10 Years,Theoretical Maximum AI Replaceability,Specification Extractability,Parameter Explicitness,Execution Determinism,Tool-chain Maturity,Interpretive Judgement Load,Evaluation / Ground-Truth Availability,Robustness Tractability,Verification Cost,Human Feasibility — Explanation,Research Significance — Explanation,Current AI Replaceability — Explanation,AI Replaceability in 10 Years — Explanation,Theoretical Maximum AI Replaceability — Explanation,Specification Extractability — Explanation,Parameter Explicitness — Explanation,Execution Determinism — Explanation,Tool-chain Maturity — Explanation,Interpretive Judgement Load — Explanation,Evaluation / Ground-Truth Availability — Explanation,Robustness Tractability — Explanation,Verification Cost — Explanation
"Log-likelihood keyword extraction (node vs. reference corpus, explicit LL threshold and minimum frequency cut-off)",Keyword Analysis,"Dunning, T. (1993). Accurate methods for the statistics of surprise and coincidence. Computational Linguistics, 19(1), 61–74.",8,7,8,9,10,8,7,9,9,4,8,8,3,This task is feasible for a trained corpus linguist using standard tools (8/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (8/10).,Anticipated advances suggest higher automation of this task in the next decade (9/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (10/10).",The procedural details for this task can mostly be extracted from typical methods sections (8/10).,Most key parameters for this task tend to be explicitly reported in the literature (7/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (9/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (9/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (4/10).,Replication success can usually be checked against reported statistics or distributions (8/10).,Parameters can typically be varied systematically to explore robustness of the findings (8/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (3/10).
BIC-based keyword ranking (BIC as association measure),Keyword Analysis,"Wilson, A. (2013). Embracing Bayes factors for key item analysis in corpus linguistics. In M. Bieswanger & A. Koll-Stobbe (Eds.), New approaches to the study of linguistic variability. Peter Lang.",8,7,8,9,10,8,7,9,9,4,8,8,3,This task is feasible for a trained corpus linguist using standard tools (8/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (8/10).,Anticipated advances suggest higher automation of this task in the next decade (9/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (10/10).",The procedural details for this task can mostly be extracted from typical methods sections (8/10).,Most key parameters for this task tend to be explicitly reported in the literature (7/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (9/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (9/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (4/10).,Replication success can usually be checked against reported statistics or distributions (8/10).,Parameters can typically be varied systematically to explore robustness of the findings (8/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (3/10).
Multi-word keyword / n-gram keyness (bigrams or trigrams),Keyword Analysis,"O'Donnell, M. B. (2011). The adjusted frequency list: A method to produce cluster-sensitive frequency lists. ICAME Journal, 35, 135–169.",8,7,8,9,10,8,7,9,9,4,8,8,3,This task is feasible for a trained corpus linguist using standard tools (8/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (8/10).,Anticipated advances suggest higher automation of this task in the next decade (9/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (10/10).",The procedural details for this task can mostly be extracted from typical methods sections (8/10).,Most key parameters for this task tend to be explicitly reported in the literature (7/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (9/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (9/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (4/10).,Replication success can usually be checked against reported statistics or distributions (8/10).,Parameters can typically be varied systematically to explore robustness of the findings (8/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (3/10).
"Semantic category keyword clustering (e.g., post-hoc USAS tagging)",Keyword Analysis,"Rayson, P. (2008). From key words to key semantic domains. International Journal of Corpus Linguistics, 13(4), 519–549.",8,7,8,9,10,8,7,9,9,4,8,8,3,This task is feasible for a trained corpus linguist using standard tools (8/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (8/10).,Anticipated advances suggest higher automation of this task in the next decade (9/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (10/10).",The procedural details for this task can mostly be extracted from typical methods sections (8/10).,Most key parameters for this task tend to be explicitly reported in the literature (7/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (9/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (9/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (4/10).,Replication success can usually be checked against reported statistics or distributions (8/10).,Parameters can typically be varied systematically to explore robustness of the findings (8/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (3/10).
Diachronic keyword comparison (keyness across two time periods),Keyword Analysis,"Baker, P. (2011). Times may change, but we will always have money: Diachronic variation in recent British English. Journal of English Linguistics, 39(1), 65–88.",7,7,7,9,10,6,7,9,6,5,8,8,6,This task is feasible for a trained corpus linguist using standard tools (7/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (7/10).,Anticipated advances suggest higher automation of this task in the next decade (9/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (10/10).",The procedural details for this task can mostly be extracted from typical methods sections (6/10).,Most key parameters for this task tend to be explicitly reported in the literature (7/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (9/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (6/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (5/10).,Replication success can usually be checked against reported statistics or distributions (8/10).,Parameters can typically be varied systematically to explore robustness of the findings (8/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (6/10).
"MI-based collocation with fixed window (±3 span, explicit frequency threshold)",Collocation Analysis,"Church, K. W., & Hanks, P. (1990). Word association norms, mutual information, and lexicography. Computational Linguistics, 16(1), 22–29.",8,7,8,9,10,8,7,9,9,4,8,8,3,This task is feasible for a trained corpus linguist using standard tools (8/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (8/10).,Anticipated advances suggest higher automation of this task in the next decade (9/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (10/10).",The procedural details for this task can mostly be extracted from typical methods sections (8/10).,Most key parameters for this task tend to be explicitly reported in the literature (7/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (9/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (9/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (4/10).,Replication success can usually be checked against reported statistics or distributions (8/10).,Parameters can typically be varied systematically to explore robustness of the findings (8/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (3/10).
Log-Dice collocation ranking (±5 span),Collocation Analysis,"Rychlý, P. (2008). A lexicographer-friendly association score. In Proceedings of RASLAN 2008 (pp. 6–9). Masaryk University.",8,7,8,9,10,8,7,9,9,4,8,8,3,This task is feasible for a trained corpus linguist using standard tools (8/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (8/10).,Anticipated advances suggest higher automation of this task in the next decade (9/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (10/10).",The procedural details for this task can mostly be extracted from typical methods sections (8/10).,Most key parameters for this task tend to be explicitly reported in the literature (7/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (9/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (9/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (4/10).,Replication success can usually be checked against reported statistics or distributions (8/10).,Parameters can typically be varied systematically to explore robustness of the findings (8/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (3/10).
"Asymmetric window collocation (e.g., L3R1 non-symmetric span)",Collocation Analysis,"Brezina, V., McEnery, T., & Wattam, S. (2015). Collocations in context: A new perspective on collocation networks. International Journal of Corpus Linguistics, 20(2), 139–173.",8,7,8,9,10,8,7,9,9,4,8,8,3,This task is feasible for a trained corpus linguist using standard tools (8/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (8/10).,Anticipated advances suggest higher automation of this task in the next decade (9/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (10/10).",The procedural details for this task can mostly be extracted from typical methods sections (8/10).,Most key parameters for this task tend to be explicitly reported in the literature (7/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (9/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (9/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (4/10).,Replication success can usually be checked against reported statistics or distributions (8/10).,Parameters can typically be varied systematically to explore robustness of the findings (8/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (3/10).
Collocational profile comparison across registers,Collocation Analysis,"Xiao, R., & McEnery, T. (2006). Collocation, semantic prosody, and near synonymy: A cross-linguistic perspective. Applied Linguistics, 27(1), 103–129.",8,7,8,9,10,8,7,9,9,4,8,8,3,This task is feasible for a trained corpus linguist using standard tools (8/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (8/10).,Anticipated advances suggest higher automation of this task in the next decade (9/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (10/10).",The procedural details for this task can mostly be extracted from typical methods sections (8/10).,Most key parameters for this task tend to be explicitly reported in the literature (7/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (9/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (9/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (4/10).,Replication success can usually be checked against reported statistics or distributions (8/10).,Parameters can typically be varied systematically to explore robustness of the findings (8/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (3/10).
Second-order collocation (collocation of collocates),Collocation Analysis,"Williams, G. (1998). Collocational networks: Interlocking patterns of lexis in a corpus of plant biology research articles. International Journal of Corpus Linguistics, 3(1), 151–171.",8,7,8,9,10,8,7,9,9,4,8,8,3,This task is feasible for a trained corpus linguist using standard tools (8/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (8/10).,Anticipated advances suggest higher automation of this task in the next decade (9/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (10/10).",The procedural details for this task can mostly be extracted from typical methods sections (8/10).,Most key parameters for this task tend to be explicitly reported in the literature (7/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (9/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (9/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (4/10).,Replication success can usually be checked against reported statistics or distributions (8/10).,Parameters can typically be varied systematically to explore robustness of the findings (8/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (3/10).
