task,area of research,notable human research,Human Feasibility,Research Significance,Current AI Replaceability,AI Replaceability in 10 Years,Theoretical Maximum AI Replaceability,Specification Extractability,Parameter Explicitness,Execution Determinism,Tool-chain Maturity,Interpretive Judgement Load,Evaluation / Ground-Truth Availability,Robustness Tractability,Verification Cost,Human Feasibility — Explanation,Research Significance — Explanation,Current AI Replaceability — Explanation,AI Replaceability in 10 Years — Explanation,Theoretical Maximum AI Replaceability — Explanation,Specification Extractability — Explanation,Parameter Explicitness — Explanation,Execution Determinism — Explanation,Tool-chain Maturity — Explanation,Interpretive Judgement Load — Explanation,Evaluation / Ground-Truth Availability — Explanation,Robustness Tractability — Explanation,Verification Cost — Explanation
"Log-likelihood keyword extraction (node vs. reference corpus, explicit LL threshold and minimum frequency cut-off)",Keyword Analysis,"Dunning, T. (1993). Accurate methods for the statistics of surprise and coincidence. Computational Linguistics, 19(1), 61–74.",9,9,9,10,10,9,9,10,10,2,9,10,9,Routine to compute manually given corpora and scripts.,Foundational keyness method central to corpus linguistics.,LLMs with tool use can execute LL keyness end-to-end today.,Near-complete automation expected with mature keyness toolchains.,Fully automatable; purely statistical procedure.,LL thresholds and frequency cut-offs are clearly specified in prose.,Papers routinely report LL threshold and min-freq values.,Deterministic given identical inputs and thresholds.,"AntConc, #LancsBox, CQPweb, R 'quanteda' all support it.",Minimal interpretation beyond threshold choice.,Published keyword lists allow direct comparison.,"Parameters (threshold, min-freq, reference corpus) sweep easily.",Low audit cost; counts and LL values reproducible.
BIC-based keyword ranking (BIC as association measure),Keyword Analysis,"Wilson, A. (2013). Embracing Bayes factors for key item analysis in corpus linguistics. In M. Bieswanger & A. Koll-Stobbe (Eds.), New approaches to the study of linguistic variability. Peter Lang.",8,7,9,10,10,9,8,10,9,3,8,10,9,Computationally straightforward but less common in practice.,Emerging Bayesian alternative to LL for keyness.,LLMs can compute BIC keyness with scripting support.,Fully automatable as BIC keyness matures.,No theoretical barrier to full automation.,Wilson's specification is explicit and parseable.,BIC and frequency cut-offs typically reported.,Deterministic statistic given inputs.,R packages and quanteda support BIC-style ranking.,Low interpretive load; statistical ranking.,Published BIC rankings allow direct verification.,Parameters easily varied across corpora.,Low verification cost; reproducible numeric output.
Multi-word keyword / n-gram keyness (bigrams or trigrams),Keyword Analysis,"O'Donnell, M. B. (2011). The adjusted frequency list: A method to produce cluster-sensitive frequency lists. ICAME Journal, 35, 135–169.",7,7,8,10,10,8,7,10,9,3,7,9,8,N-gram keyness is tractable but data-heavy for humans.,Important for multiword keyness research.,AI can extract and rank n-gram keyness reliably.,Near-full automation anticipated.,Fully automatable in principle.,Method prose generally specifies n-gram size and measure.,Min frequency and n are commonly reported.,Deterministic given tokenisation rules.,"quanteda, NLTK, AntConc handle n-gram keyness.",Moderate judgement in choosing n and cut-offs.,Published n-gram lists enable ground-truth comparison.,Easy to vary n and thresholds systematically.,Low audit cost.
"Semantic category keyword clustering (e.g., post-hoc USAS tagging)",Keyword Analysis,"Rayson, P. (2008). From key words to key semantic domains. International Journal of Corpus Linguistics, 13(4), 519–549.",6,7,6,9,10,6,5,7,7,6,6,8,6,Manual USAS post-hoc tagging is tedious.,Valuable for semantic interpretation of keywords.,Current AI can run USAS via Wmatrix API with oversight.,Substantially automatable with better semantic taggers.,Automatable though tagger accuracy bounds replicability.,Category schemes are documented but mappings vary.,Papers often omit exact tagger version/settings.,Tagger outputs mostly deterministic but version-dependent.,Wmatrix and pymusas provide pipelines.,Interpretation of semantic categories needs judgement.,Published category counts verifiable if tagger matches.,Can vary tagger thresholds and granularity.,Moderate audit cost due to semantic categorisation.
Diachronic keyword comparison (keyness across two time periods),Keyword Analysis,"Baker, P. (2011). Times may change, but we will always have money: Diachronic variation in recent British English. Journal of English Linguistics, 39(1), 65–88.",7,8,8,9,10,8,7,9,8,4,7,9,8,Diachronic keyness doable but requires careful corpus splits.,Key method for language-change studies.,AI can operationalise diachronic LL comparisons.,Near-full automation expected.,Fully automatable.,Specifications usually clear on time windows and measure.,Time slices and thresholds typically reported.,Deterministic given corpus partitions.,Standard corpus tools support diachronic keyness.,Some judgement on period boundaries.,Published diachronic keyword lists support verification.,Period boundaries and thresholds easily varied.,Low-to-moderate audit cost.
"MI-based collocation with fixed window (±3 span, explicit frequency threshold)",Collocation Analysis,"Church, K. W., & Hanks, P. (1990). Word association norms, mutual information, and lexicography. Computational Linguistics, 16(1), 22–29.",9,9,9,10,10,9,9,10,10,2,9,10,9,MI collocation is a standard manual task.,Core collocation technique.,AI handles MI collocation trivially today.,Fully automatable.,Fully automatable.,Window and frequency thresholds clearly specified.,Papers typically report span and min-freq.,Deterministic given tokenisation.,"AntConc, #LancsBox, Sketch Engine all support MI.",Minimal interpretive load.,Published collocate lists enable verification.,Window and thresholds sweep easily.,Low audit cost.
Log-Dice collocation ranking (±5 span),Collocation Analysis,"Rychlý, P. (2008). A lexicographer-friendly association score. In Proceedings of RASLAN 2008 (pp. 6–9). Masaryk University.",9,8,9,10,10,9,9,10,10,2,9,10,9,Log-Dice is a routine collocation computation.,Widely used modern association measure.,AI can compute Log-Dice end-to-end.,Fully automatable.,Fully automatable.,Formula and span are standardly documented.,Span and min-freq routinely reported.,Deterministic.,Sketch Engine implements Log-Dice natively.,Low interpretive load.,Collocate rankings verifiable against published output.,Parameters vary easily.,Low audit cost.
"Asymmetric window collocation (e.g., L3R1 non-symmetric span)",Collocation Analysis,"Brezina, V., McEnery, T., & Wattam, S. (2015). Collocations in context: A new perspective on collocation networks. International Journal of Corpus Linguistics, 20(2), 139–173.",8,6,8,10,10,8,8,10,9,3,8,10,9,Asymmetric windows require careful scripting.,Useful for directional collocation patterns.,AI can implement asymmetric spans with tool use.,Near-full automation.,Fully automatable.,Asymmetric spans usually specified explicitly.,L/R spans generally reported.,Deterministic.,CQPweb and custom scripts handle asymmetric spans.,Some judgement in span choice.,Published collocates verifiable.,Spans easily varied.,Low audit cost.
Collocational profile comparison across registers,Collocation Analysis,"Xiao, R., & McEnery, T. (2006). Collocation, semantic prosody, and near synonymy: A cross-linguistic perspective. Applied Linguistics, 27(1), 103–129.",7,8,7,9,10,7,6,9,8,5,7,9,7,Cross-register profiling is feasible but labour-intensive.,Important for register sensitivity of collocations.,AI can automate comparison with oversight.,Nearly fully automatable.,Fully automatable.,Specifications often partial across registers.,Parameters sometimes under-specified across registers.,Deterministic given matched settings.,Toolchains exist but require stitching.,Register definitions require judgement.,Ground-truth lists sometimes available.,Can sweep across registers easily.,Moderate audit cost.
Second-order collocation (collocation of collocates),Collocation Analysis,"Williams, G. (1998). Collocational networks: Interlocking patterns of lexis in a corpus of plant biology research articles. International Journal of Corpus Linguistics, 3(1), 151–171.",6,6,6,9,10,6,5,8,7,5,6,8,6,Second-order collocation requires bespoke scripting.,Niche but insightful for semantic networks.,AI can implement with guidance.,Substantially automatable.,Fully automatable in principle.,Often under-specified in published methods.,Parameters rarely fully explicit.,Deterministic given implementation.,No canonical tool; custom code needed.,Network interpretation requires judgement.,Limited published ground truth.,Parameters varyable with effort.,Moderate audit cost.
