task,area of research,notable human research,Human Feasibility,Research Significance,Current AI Replaceability,AI Replaceability in 10 Years,Theoretical Maximum AI Replaceability,Specification Extractability,Parameter Explicitness,Execution Determinism,Tool-chain Maturity,Interpretive Judgement Load,Evaluation / Ground-Truth Availability,Robustness Tractability,Verification Cost,Human Feasibility — Explanation,Research Significance — Explanation,Current AI Replaceability — Explanation,AI Replaceability in 10 Years — Explanation,Theoretical Maximum AI Replaceability — Explanation,Specification Extractability — Explanation,Parameter Explicitness — Explanation,Execution Determinism — Explanation,Tool-chain Maturity — Explanation,Interpretive Judgement Load — Explanation,Evaluation / Ground-Truth Availability — Explanation,Robustness Tractability — Explanation,Verification Cost — Explanation
"Log-likelihood keyword extraction (node vs. reference corpus, explicit LL threshold and minimum frequency cut-off)",Keyword Analysis,"Dunning, T. (1993). Accurate methods for the statistics of surprise and coincidence. Computational Linguistics, 19(1), 61–74.",9,8,9,10,10,9,9,10,10,2,9,9,2,"LL keyword extraction is routine for trained corpus linguists using standard software.","Keyword analysis is foundational to quantitative corpus linguistics methodology.","Modern AI can reliably script and execute LL extraction with explicit thresholds.","Within ten years this deterministic workflow will be trivially automated.","A purely arithmetic algorithm presents no theoretical barrier to full automation.","The LL threshold and frequency cut-off are easily formalised from methods prose.","Parameters like threshold values and minimum frequencies are routinely reported explicitly.","Identical corpora and thresholds produce bit-identical LL keyword lists every time.","AntConc, #LancsBox, CQPweb, and quanteda all implement LL keyness end-to-end.","Almost no qualitative judgement is needed once parameters are fixed.","Published keyword tables provide direct objective ground truth for replication.","Thresholds and reference corpora can be swept programmatically.","Auditing reduces to spot-checking a handful of values against the published table."
"BIC-based keyword ranking (BIC as association measure)",Keyword Analysis,"Wilson, A. (2013). Embracing Bayes factors for key item analysis in corpus linguistics. In M. Bieswanger & A. Koll-Stobbe (Eds.), New approaches to the study of linguistic variability. Peter Lang.",8,7,8,10,10,8,7,10,7,2,8,9,3,"BIC keyword ranking is feasible for humans with statistical competence and scripting.","BIC keyness offers a useful probabilistic alternative but is less central than LL.","Current AI can implement the BIC formula directly with appropriate guidance.","Future systems will trivially automate the full BIC pipeline without oversight.","The BIC calculation is wholly mathematical and theoretically fully replaceable.","Wilson's published formulae are explicit and easily parsed into executable code.","BIC studies sometimes omit priors or comparison details needed for exact replication.","Deterministic given identical token counts and formula specification.","Fewer turnkey tools than LL but quanteda and custom R scripts provide coverage.","Minimal interpretation is needed beyond applying the ranking threshold.","Published BIC rankings provide direct objective comparators.","BIC thresholds and corpus partitions can be varied systematically and easily.","Verification reduces to recomputing BIC for a sample of top-ranked items."
"Multi-word keyword / n-gram keyness (bigrams or trigrams)",Keyword Analysis,"O'Donnell, M. B. (2011). The adjusted frequency list: A method to produce cluster-sensitive frequency lists. ICAME Journal, 35, 135–169.",9,8,9,10,10,8,8,10,9,3,9,9,3,"N-gram keyness extraction is standard practice using accessible corpus software.","Multi-word keyness captures important phraseological patterning beyond single words.","Current AI can extract and score n-grams reliably with standard NLP tooling.","Future AI should automate n-gram selection and reporting completely end-to-end.","N-gram keyness is purely combinatorial and statistically bounded so fully automatable.","N-gram length and keyness statistic are usually extractable from methods sections.","Minimum frequency and filtering rules are often but not always explicitly reported.","Fixed n-gram settings and keyness thresholds yield deterministic outputs.","#LancsBox, AntConc, kfNgram, and quanteda all support n-gram keyness extraction.","Some judgement is needed to interpret which multi-word units are meaningful.","Published n-gram tables allow direct quantitative comparison of outputs.","Frequency thresholds and n-gram sizes are easy to perturb systematically.","Audit cost is modest because lists and counts are directly inspectable."
"Semantic category keyword clustering (e.g., post-hoc USAS tagging)",Keyword Analysis,"Rayson, P. (2008). From key words to key semantic domains. International Journal of Corpus Linguistics, 13(4), 519–549.",8,8,7,9,10,7,7,8,8,5,7,8,5,"Semantic category clustering is feasible with established tagging tools and manual review.","Semantic domains add important interpretive value beyond isolated keyword forms.","Current AI can apply USAS taggers and cluster but may misclassify borderline items.","Improved context-aware models will achieve near-perfect semantic disambiguation.","A perfect semantic tagger would make the entire task fully automatable.","Rayson's method is well-documented and largely parseable into executable steps.","Tagset versions and manual correction rules are sometimes underreported.","Automatic tagging is deterministic if models and software versions are fixed.","Wmatrix and pyMUSAS provide usable end-to-end tool support for this task.","Moderate judgement is needed to interpret and merge semantic category boundaries.","Published category rankings provide partial but useful objective ground truth.","Taggers and category thresholds can be varied systematically to test sensitivity.","Auditing requires checking semantic classifications and cluster interpretations manually."
"Diachronic keyword comparison (keyness across two time periods)",Keyword Analysis,"Baker, P. (2011). Times may change, but we will always have money: Diachronic variation in recent British English. Journal of English Linguistics, 39(1), 65–88.",8,8,8,10,10,8,7,10,9,4,8,9,4,"Diachronic keyword comparison is feasible with time-segmented corpora and standard tools.","Diachronic keyness directly supports historical linguistic and discourse interpretation.","Current AI can compute period comparisons reliably when corpora are available.","Within a decade this will be a fully automated one-click operation.","With fixed periods and corpora the statistical analysis is fully automatable.","Period definitions and keyness formulas are usually extractable from methods prose.","Corpus sampling and exact period boundaries are not always fully specified.","Identical period corpora and statistics give perfectly repeatable results.","CQPweb and #LancsBox handle diachronic keyness directly and effectively.","Interpretation of temporal socio-historical drivers requires some contextual judgement.","Published diachronic keyword tables provide measurable replication targets.","Time windows and thresholds can be varied programmatically to test sensitivity.","Verification requires checking period construction as well as statistical outputs."
"MI-based collocation with fixed window (±3 span, explicit frequency threshold)",Collocation Analysis,"Church, K. W., & Hanks, P. (1990). Word association norms, mutual information, and lexicography. Computational Linguistics, 16(1), 22–29.",9,8,9,10,10,10,9,10,10,2,9,9,2,"Fixed-window MI collocation is routine with any standard corpus concordancer.","MI is foundational for establishing lexical association strength in corpora.","Current AI can script and run MI collocation analysis very reliably.","This routine calculation will be entirely automated as a trivial pipeline step.","The fixed-window MI calculation is a purely mathematical operation fully machine-executable.","The window span and frequency threshold are straightforwardly extractable from methods.","The task explicitly supplies the key parameters (±3 span, threshold) needed for execution.","Fixed counts and MI formula produce identical collocation rankings every time.","AntConc, #LancsBox, Sketch Engine, and quanteda all implement window collocation.","Almost no qualitative judgement is needed to compute the MI collocate list.","Published collocate tables and MI scores provide exact objective replication targets.","Window size and frequency thresholds are trivially easy to vary systematically.","Verification mainly involves count and formula spot-checks requiring minimal time."
"Log-Dice collocation ranking (±5 span)",Collocation Analysis,"Rychlý, P. (2008). A lexicographer-friendly association score. In Proceedings of RASLAN 2008 (pp. 6–9). Masaryk University.",9,7,9,10,10,10,9,10,10,2,9,9,2,"Log-Dice collocation ranking is easy for corpus-trained humans with standard tools.","Log-Dice is a key frequency-independent lexicographic ranking score widely adopted.","Current AI can compute Log-Dice rankings from token counts with full reliability.","Future AI will automate Log-Dice workflows with no oversight whatsoever.","The Log-Dice formula and window counting are fully automatable without limitation.","Rychlý's formula is fully formal and trivially parseable into executable code.","Frequency filters and tokenisation choices may still need explicit reporting.","Fixed counts and formula yield deterministic bit-identical Log-Dice scores.","Sketch Engine and #LancsBox provide turnkey Log-Dice collocation support.","The computational ranking itself needs negligible human interpretation.","Published rankings and scores permit direct objective comparison.","Window spans and cut-offs can be swept trivially and easily.","Audit cost is very low because calculations are fully transparent."
"Asymmetric window collocation (e.g., L3R1 non-symmetric span)",Collocation Analysis,"Brezina, V., McEnery, T., & Wattam, S. (2015). Collocations in context: A new perspective on collocation networks. International Journal of Corpus Linguistics, 20(2), 139–173.",8,7,8,10,10,9,8,10,9,3,8,9,3,"Asymmetric collocation is feasible but needs careful query setup in appropriate tools.","Asymmetric windows capture directional syntactic dependencies refining collocation analysis.","Current AI can implement non-symmetric windows reliably with clear parameter specification.","Future AI should reliably manage any asymmetric window configuration and visualisation.","No theoretical barrier prevents full automation of asymmetric collocation.","Window notation such as L3R1 is readily machine-readable and unambiguous.","Studies may omit tokenisation and filtering details beyond the span itself.","Given fixed spans and corpora the output is entirely deterministic.","#LancsBox GraphColl is purpose-built and other tools support directional scripting.","Some judgement is needed to interpret directional asymmetry findings.","Published collocate rankings and networks provide objective comparison points.","Left and right spans can be varied systematically and programmatically.","Verification mostly checks whether window logic was applied correctly."
"Collocational profile comparison across registers",Collocation Analysis,"Xiao, R., & McEnery, T. (2006). Collocation, semantic prosody, and near synonymy: A cross-linguistic perspective. Applied Linguistics, 27(1), 103–129.",7,8,7,9,9,7,6,9,8,6,7,8,5,"Register-based collocation comparison is feasible but analytically labour-intensive.","Cross-register collocational profiles are important for synonym and register studies.","Current AI can compute profiles but struggles with nuanced semantic prosody interpretation.","Substantial improvement expected with better contextual semantic models.","Full automation is possible if register labels and metrics are fixed though interpretation limits it.","Methods prose can identify windows and comparison metrics reasonably well.","Register definitions and corpus balancing are often incompletely reported.","Fixed corpora and metrics give deterministic comparative tables.","Corpus tools support collocation by subcorpus or register effectively.","Moderate-to-high judgement is needed to interpret register-specific semantic patterns.","Published tables provide partial but not complete ground truth.","Registers and association thresholds can be varied tractably to test robustness.","Auditing requires reviewing both statistics and substantive interpretations."
"Second-order collocation (collocation of collocates)",Collocation Analysis,"Williams, G. (1998). Collocational networks: Interlocking patterns of lexis in a corpus of plant biology research articles. International Journal of Corpus Linguistics, 3(1), 151–171.",7,7,7,9,10,7,6,9,7,4,7,8,4,"Second-order collocation is feasible but more complex to execute manually.","Collocation networks reveal important structure beyond first-order associations.","Current AI can compute networks but may mishandle design choices on pruning.","Future AI should handle second-order network construction more reliably.","Graph-based lexical analysis is mathematically bounded and fully automatable.","Published descriptions can often be parsed into network-building procedural steps.","Cut-offs and pruning rules for network inclusion are frequently underspecified.","Fixed collocate sets and thresholds produce repeatable deterministic networks.","#LancsBox GraphColl handles this directly; network libraries support the analysis.","Some judgement is needed for pruning decisions and interpreting network patterns.","Published network diagrams offer only partial and sometimes imprecise ground truth.","Thresholds and graph parameters can be varied systematically by AI.","Verification requires checking multi-stage extraction and network construction logic."
