task,area of research,notable human research,Human Feasibility,Research Significance,Current AI Replaceability,AI Replaceability in 10 Years,Theoretical Maximum AI Replaceability,Specification Extractability,Parameter Explicitness,Execution Determinism,Tool-chain Maturity,Interpretive Judgement Load,Evaluation / Ground-Truth Availability,Robustness Tractability,Verification Cost,Human Feasibility — Explanation,Research Significance — Explanation,Current AI Replaceability — Explanation,AI Replaceability in 10 Years — Explanation,Theoretical Maximum AI Replaceability — Explanation,Specification Extractability — Explanation,Parameter Explicitness — Explanation,Execution Determinism — Explanation,Tool-chain Maturity — Explanation,Interpretive Judgement Load — Explanation,Evaluation / Ground-Truth Availability — Explanation,Robustness Tractability — Explanation,Verification Cost — Explanation
"Log-likelihood keyword extraction (node vs. reference corpus, explicit LL threshold and minimum frequency cut-off)",Keyword Analysis,"Dunning, T. (1993). Accurate methods for the statistics of surprise and coincidence. Computational Linguistics, 19(1), 61–74.",8,7,8,9,10,9,9,9,8,4,8,8,4,This task is highly feasible for a trained human analyst working with standard corpus methods.,"This task is useful to the research programme, but it is usually one component rather than the whole contribution.","Current AI can automate most of log-likelihood keyword extraction (node vs. reference corpus, explicit ll threshold and minimum frequency cut-off) once the corpus and target specification are provided.","Within 10 years, AI is likely to automate nearly all of log-likelihood keyword extraction (node vs. reference corpus, explicit ll threshold and minimum frequency cut-off) except occasional oversight.","In principle, log-likelihood keyword extraction (node vs. reference corpus, explicit ll threshold and minimum frequency cut-off) appears almost fully automatable if practical constraints are removed.","For log-likelihood keyword extraction (node vs. reference corpus, explicit ll threshold and minimum frequency cut-off), specification extraction is strong  the task description is usually procedural enough to convert into structured steps","For log-likelihood keyword extraction (node vs. reference corpus, explicit ll threshold and minimum frequency cut-off), parameter explicitness is strong  the necessary thresholds, spans, tags, or comparison sets are typically reported","For log-likelihood keyword extraction (node vs. reference corpus, explicit ll threshold and minimum frequency cut-off), execution is highly deterministic  it relies on clearly specified counts, thresholds, or rule-based computations","For log-likelihood keyword extraction (node vs. reference corpus, explicit ll threshold and minimum frequency cut-off), tool-chain maturity is high  mature corpus, NLP, or statistical tools can already execute most steps","For log-likelihood keyword extraction (node vs. reference corpus, explicit ll threshold and minimum frequency cut-off), interpretive judgement load is low  most decisions can be operationalised with limited qualitative judgement","For log-likelihood keyword extraction (node vs. reference corpus, explicit ll threshold and minimum frequency cut-off), evaluation availability is strong  outputs can be directly checked against published counts, rankings, or derived statistics","For log-likelihood keyword extraction (node vs. reference corpus, explicit ll threshold and minimum frequency cut-off), robustness tractability is high  the analysis can be rerun systematically over alternative windows, cut-offs, or corpora","For log-likelihood keyword extraction (node vs. reference corpus, explicit ll threshold and minimum frequency cut-off), verification cost is low  a human can audit the main outputs quickly against the corpus and method description"
BIC-based keyword ranking (BIC as association measure),Keyword Analysis,"Wilson, A. (2013). Embracing Bayes factors for key item analysis in corpus linguistics. In M. Bieswanger & A. Koll-Stobbe (Eds.), New approaches to the study of linguistic variability. Peter Lang.",8,7,8,9,10,8,8,8,8,4,8,8,4,This task is highly feasible for a trained human analyst working with standard corpus methods.,"This task is useful to the research programme, but it is usually one component rather than the whole contribution.",Current AI can automate most of bic-based keyword ranking (bic as association measure) once the corpus and target specification are provided.,"Within 10 years, AI is likely to automate nearly all of bic-based keyword ranking (bic as association measure) except occasional oversight.","In principle, bic-based keyword ranking (bic as association measure) appears almost fully automatable if practical constraints are removed.","For bic-based keyword ranking (bic as association measure), specification extraction is strong  the task description is usually procedural enough to convert into structured steps","For bic-based keyword ranking (bic as association measure), parameter explicitness is strong  the necessary thresholds, spans, tags, or comparison sets are typically reported","For bic-based keyword ranking (bic as association measure), execution is highly deterministic  it relies on clearly specified counts, thresholds, or rule-based computations","For bic-based keyword ranking (bic as association measure), tool-chain maturity is high  mature corpus, NLP, or statistical tools can already execute most steps","For bic-based keyword ranking (bic as association measure), interpretive judgement load is low  most decisions can be operationalised with limited qualitative judgement","For bic-based keyword ranking (bic as association measure), evaluation availability is strong  outputs can be directly checked against published counts, rankings, or derived statistics","For bic-based keyword ranking (bic as association measure), robustness tractability is high  the analysis can be rerun systematically over alternative windows, cut-offs, or corpora","For bic-based keyword ranking (bic as association measure), verification cost is low  a human can audit the main outputs quickly against the corpus and method description"
Multi-word keyword / n-gram keyness (bigrams or trigrams),Keyword Analysis,"O'Donnell, M. B. (2011). The adjusted frequency list: A method to produce cluster-sensitive frequency lists. ICAME Journal, 35, 135–169.",8,7,8,9,10,8,8,8,8,4,8,8,4,This task is highly feasible for a trained human analyst working with standard corpus methods.,"This task is useful to the research programme, but it is usually one component rather than the whole contribution.",Current AI can automate most of multi-word keyword / n-gram keyness (bigrams or trigrams) once the corpus and target specification are provided.,"Within 10 years, AI is likely to automate nearly all of multi-word keyword / n-gram keyness (bigrams or trigrams) except occasional oversight.","In principle, multi-word keyword / n-gram keyness (bigrams or trigrams) appears almost fully automatable if practical constraints are removed.","For multi-word keyword / n-gram keyness (bigrams or trigrams), specification extraction is strong  the task description is usually procedural enough to convert into structured steps","For multi-word keyword / n-gram keyness (bigrams or trigrams), parameter explicitness is strong  the necessary thresholds, spans, tags, or comparison sets are typically reported","For multi-word keyword / n-gram keyness (bigrams or trigrams), execution is highly deterministic  it relies on clearly specified counts, thresholds, or rule-based computations","For multi-word keyword / n-gram keyness (bigrams or trigrams), tool-chain maturity is high  mature corpus, NLP, or statistical tools can already execute most steps","For multi-word keyword / n-gram keyness (bigrams or trigrams), interpretive judgement load is low  most decisions can be operationalised with limited qualitative judgement","For multi-word keyword / n-gram keyness (bigrams or trigrams), evaluation availability is strong  outputs can be directly checked against published counts, rankings, or derived statistics","For multi-word keyword / n-gram keyness (bigrams or trigrams), robustness tractability is high  the analysis can be rerun systematically over alternative windows, cut-offs, or corpora","For multi-word keyword / n-gram keyness (bigrams or trigrams), verification cost is low  a human can audit the main outputs quickly against the corpus and method description"
"Semantic category keyword clustering (e.g., post-hoc USAS tagging)",Keyword Analysis,"Rayson, P. (2008). From key words to key semantic domains. International Journal of Corpus Linguistics, 13(4), 519–549.",8,7,7,9,10,8,8,9,9,4,8,9,3,This task is highly feasible for a trained human analyst working with standard corpus methods.,"This task is useful to the research programme, but it is usually one component rather than the whole contribution.","Current AI can assist substantially with semantic category keyword clustering (e.g., post-hoc usas tagging), but human supervision is still important.","Within 10 years, AI is likely to automate nearly all of semantic category keyword clustering (e.g., post-hoc usas tagging) except occasional oversight.","In principle, semantic category keyword clustering (e.g., post-hoc usas tagging) appears almost fully automatable if practical constraints are removed.","For semantic category keyword clustering (e.g., post-hoc usas tagging), specification extraction is strong  the task description is usually procedural enough to convert into structured steps","For semantic category keyword clustering (e.g., post-hoc usas tagging), parameter explicitness is strong  the necessary thresholds, spans, tags, or comparison sets are typically reported","For semantic category keyword clustering (e.g., post-hoc usas tagging), execution is highly deterministic  it relies on clearly specified counts, thresholds, or rule-based computations","For semantic category keyword clustering (e.g., post-hoc usas tagging), tool-chain maturity is high  mature corpus, NLP, or statistical tools can already execute most steps","For semantic category keyword clustering (e.g., post-hoc usas tagging), interpretive judgement load is low  most decisions can be operationalised with limited qualitative judgement","For semantic category keyword clustering (e.g., post-hoc usas tagging), evaluation availability is strong  outputs can be directly checked against published counts, rankings, or derived statistics","For semantic category keyword clustering (e.g., post-hoc usas tagging), robustness tractability is high  the analysis can be rerun systematically over alternative windows, cut-offs, or corpora","For semantic category keyword clustering (e.g., post-hoc usas tagging), verification cost is low  a human can audit the main outputs quickly against the corpus and method description"
Diachronic keyword comparison (keyness across two time periods),Keyword Analysis,"Baker, P. (2011). Times may change, but we will always have money: Diachronic variation in recent British English. Journal of English Linguistics, 39(1), 65–88.",8,8,8,9,10,8,8,8,8,4,8,8,4,This task is highly feasible for a trained human analyst working with standard corpus methods.,This task is central to its research area because it directly operationalises a common analytic question.,Current AI can automate most of diachronic keyword comparison (keyness across two time periods) once the corpus and target specification are provided.,"Within 10 years, AI is likely to automate nearly all of diachronic keyword comparison (keyness across two time periods) except occasional oversight.","In principle, diachronic keyword comparison (keyness across two time periods) appears almost fully automatable if practical constraints are removed.","For diachronic keyword comparison (keyness across two time periods), specification extraction is strong  the task description is usually procedural enough to convert into structured steps","For diachronic keyword comparison (keyness across two time periods), parameter explicitness is strong  the necessary thresholds, spans, tags, or comparison sets are typically reported","For diachronic keyword comparison (keyness across two time periods), execution is highly deterministic  it relies on clearly specified counts, thresholds, or rule-based computations","For diachronic keyword comparison (keyness across two time periods), tool-chain maturity is high  mature corpus, NLP, or statistical tools can already execute most steps","For diachronic keyword comparison (keyness across two time periods), interpretive judgement load is low  most decisions can be operationalised with limited qualitative judgement","For diachronic keyword comparison (keyness across two time periods), evaluation availability is strong  outputs can be directly checked against published counts, rankings, or derived statistics","For diachronic keyword comparison (keyness across two time periods), robustness tractability is high  the analysis can be rerun systematically over alternative windows, cut-offs, or corpora","For diachronic keyword comparison (keyness across two time periods), verification cost is low  a human can audit the main outputs quickly against the corpus and method description"
"MI-based collocation with fixed window (±3 span, explicit frequency threshold)",Collocation Analysis,"Church, K. W., & Hanks, P. (1990). Word association norms, mutual information, and lexicography. Computational Linguistics, 16(1), 22–29.",7,7,8,9,10,9,9,10,9,4,8,8,4,"This task is feasible for a trained human, but it requires moderate technical setup and checking.","This task is useful to the research programme, but it is usually one component rather than the whole contribution.","Current AI can automate most of mi-based collocation with fixed window (±3 span, explicit frequency threshold) once the corpus and target specification are provided.","Within 10 years, AI is likely to automate nearly all of mi-based collocation with fixed window (±3 span, explicit frequency threshold) except occasional oversight.","In principle, mi-based collocation with fixed window (±3 span, explicit frequency threshold) appears almost fully automatable if practical constraints are removed.","For mi-based collocation with fixed window (±3 span, explicit frequency threshold), specification extraction is strong  the task description is usually procedural enough to convert into structured steps","For mi-based collocation with fixed window (±3 span, explicit frequency threshold), parameter explicitness is strong  the necessary thresholds, spans, tags, or comparison sets are typically reported","For mi-based collocation with fixed window (±3 span, explicit frequency threshold), execution is highly deterministic  it relies on clearly specified counts, thresholds, or rule-based computations","For mi-based collocation with fixed window (±3 span, explicit frequency threshold), tool-chain maturity is high  mature corpus, NLP, or statistical tools can already execute most steps","For mi-based collocation with fixed window (±3 span, explicit frequency threshold), interpretive judgement load is low  most decisions can be operationalised with limited qualitative judgement","For mi-based collocation with fixed window (±3 span, explicit frequency threshold), evaluation availability is strong  outputs can be directly checked against published counts, rankings, or derived statistics","For mi-based collocation with fixed window (±3 span, explicit frequency threshold), robustness tractability is high  the analysis can be rerun systematically over alternative windows, cut-offs, or corpora","For mi-based collocation with fixed window (±3 span, explicit frequency threshold), verification cost is low  a human can audit the main outputs quickly against the corpus and method description"
Log-Dice collocation ranking (±5 span),Collocation Analysis,"Rychlý, P. (2008). A lexicographer-friendly association score. In Proceedings of RASLAN 2008 (pp. 6–9). Masaryk University.",7,7,8,9,10,8,8,8,8,4,8,8,4,"This task is feasible for a trained human, but it requires moderate technical setup and checking.","This task is useful to the research programme, but it is usually one component rather than the whole contribution.",Current AI can automate most of log-dice collocation ranking (±5 span) once the corpus and target specification are provided.,"Within 10 years, AI is likely to automate nearly all of log-dice collocation ranking (±5 span) except occasional oversight.","In principle, log-dice collocation ranking (±5 span) appears almost fully automatable if practical constraints are removed.","For log-dice collocation ranking (±5 span), specification extraction is strong  the task description is usually procedural enough to convert into structured steps","For log-dice collocation ranking (±5 span), parameter explicitness is strong  the necessary thresholds, spans, tags, or comparison sets are typically reported","For log-dice collocation ranking (±5 span), execution is highly deterministic  it relies on clearly specified counts, thresholds, or rule-based computations","For log-dice collocation ranking (±5 span), tool-chain maturity is high  mature corpus, NLP, or statistical tools can already execute most steps","For log-dice collocation ranking (±5 span), interpretive judgement load is low  most decisions can be operationalised with limited qualitative judgement","For log-dice collocation ranking (±5 span), evaluation availability is strong  outputs can be directly checked against published counts, rankings, or derived statistics","For log-dice collocation ranking (±5 span), robustness tractability is high  the analysis can be rerun systematically over alternative windows, cut-offs, or corpora","For log-dice collocation ranking (±5 span), verification cost is low  a human can audit the main outputs quickly against the corpus and method description"
"Asymmetric window collocation (e.g., L3R1 non-symmetric span)",Collocation Analysis,"Brezina, V., McEnery, T., & Wattam, S. (2015). Collocations in context: A new perspective on collocation networks. International Journal of Corpus Linguistics, 20(2), 139–173.",7,7,8,9,10,8,8,8,8,4,8,8,4,"This task is feasible for a trained human, but it requires moderate technical setup and checking.","This task is useful to the research programme, but it is usually one component rather than the whole contribution.","Current AI can automate most of asymmetric window collocation (e.g., l3r1 non-symmetric span) once the corpus and target specification are provided.","Within 10 years, AI is likely to automate nearly all of asymmetric window collocation (e.g., l3r1 non-symmetric span) except occasional oversight.","In principle, asymmetric window collocation (e.g., l3r1 non-symmetric span) appears almost fully automatable if practical constraints are removed.","For asymmetric window collocation (e.g., l3r1 non-symmetric span), specification extraction is strong  the task description is usually procedural enough to convert into structured steps","For asymmetric window collocation (e.g., l3r1 non-symmetric span), parameter explicitness is strong  the necessary thresholds, spans, tags, or comparison sets are typically reported","For asymmetric window collocation (e.g., l3r1 non-symmetric span), execution is highly deterministic  it relies on clearly specified counts, thresholds, or rule-based computations","For asymmetric window collocation (e.g., l3r1 non-symmetric span), tool-chain maturity is high  mature corpus, NLP, or statistical tools can already execute most steps","For asymmetric window collocation (e.g., l3r1 non-symmetric span), interpretive judgement load is low  most decisions can be operationalised with limited qualitative judgement","For asymmetric window collocation (e.g., l3r1 non-symmetric span), evaluation availability is strong  outputs can be directly checked against published counts, rankings, or derived statistics","For asymmetric window collocation (e.g., l3r1 non-symmetric span), robustness tractability is high  the analysis can be rerun systematically over alternative windows, cut-offs, or corpora","For asymmetric window collocation (e.g., l3r1 non-symmetric span), verification cost is low  a human can audit the main outputs quickly against the corpus and method description"
Collocational profile comparison across registers,Collocation Analysis,"Xiao, R., & McEnery, T. (2006). Collocation, semantic prosody, and near synonymy: A cross-linguistic perspective. Applied Linguistics, 27(1), 103–129.",7,8,8,9,10,8,8,8,8,4,8,8,4,"This task is feasible for a trained human, but it requires moderate technical setup and checking.",This task is central to its research area because it directly operationalises a common analytic question.,Current AI can automate most of collocational profile comparison across registers once the corpus and target specification are provided.,"Within 10 years, AI is likely to automate nearly all of collocational profile comparison across registers except occasional oversight.","In principle, collocational profile comparison across registers appears almost fully automatable if practical constraints are removed.","For collocational profile comparison across registers, specification extraction is strong  the task description is usually procedural enough to convert into structured steps","For collocational profile comparison across registers, parameter explicitness is strong  the necessary thresholds, spans, tags, or comparison sets are typically reported","For collocational profile comparison across registers, execution is highly deterministic  it relies on clearly specified counts, thresholds, or rule-based computations","For collocational profile comparison across registers, tool-chain maturity is high  mature corpus, NLP, or statistical tools can already execute most steps","For collocational profile comparison across registers, interpretive judgement load is low  most decisions can be operationalised with limited qualitative judgement","For collocational profile comparison across registers, evaluation availability is strong  outputs can be directly checked against published counts, rankings, or derived statistics","For collocational profile comparison across registers, robustness tractability is high  the analysis can be rerun systematically over alternative windows, cut-offs, or corpora","For collocational profile comparison across registers, verification cost is low  a human can audit the main outputs quickly against the corpus and method description"
Second-order collocation (collocation of collocates),Collocation Analysis,"Williams, G. (1998). Collocational networks: Interlocking patterns of lexis in a corpus of plant biology research articles. International Journal of Corpus Linguistics, 3(1), 151–171.",7,7,8,9,10,8,8,8,8,4,8,8,4,"This task is feasible for a trained human, but it requires moderate technical setup and checking.","This task is useful to the research programme, but it is usually one component rather than the whole contribution.",Current AI can automate most of second-order collocation (collocation of collocates) once the corpus and target specification are provided.,"Within 10 years, AI is likely to automate nearly all of second-order collocation (collocation of collocates) except occasional oversight.","In principle, second-order collocation (collocation of collocates) appears almost fully automatable if practical constraints are removed.","For second-order collocation (collocation of collocates), specification extraction is strong  the task description is usually procedural enough to convert into structured steps","For second-order collocation (collocation of collocates), parameter explicitness is strong  the necessary thresholds, spans, tags, or comparison sets are typically reported","For second-order collocation (collocation of collocates), execution is highly deterministic  it relies on clearly specified counts, thresholds, or rule-based computations","For second-order collocation (collocation of collocates), tool-chain maturity is high  mature corpus, NLP, or statistical tools can already execute most steps","For second-order collocation (collocation of collocates), interpretive judgement load is low  most decisions can be operationalised with limited qualitative judgement","For second-order collocation (collocation of collocates), evaluation availability is strong  outputs can be directly checked against published counts, rankings, or derived statistics","For second-order collocation (collocation of collocates), robustness tractability is high  the analysis can be rerun systematically over alternative windows, cut-offs, or corpora","For second-order collocation (collocation of collocates), verification cost is low  a human can audit the main outputs quickly against the corpus and method description"
