task,area of research,notable human research,Human Feasibility,Research Significance,Current AI Replaceability,AI Replaceability in 10 Years,Theoretical Maximum AI Replaceability,Specification Extractability,Parameter Explicitness,Execution Determinism,Tool-chain Maturity,Interpretive Judgement Load,Evaluation / Ground-Truth Availability,Robustness Tractability,Verification Cost,Human Feasibility — Explanation,Research Significance — Explanation,Current AI Replaceability — Explanation,AI Replaceability in 10 Years — Explanation,Theoretical Maximum AI Replaceability — Explanation,Specification Extractability — Explanation,Parameter Explicitness — Explanation,Execution Determinism — Explanation,Tool-chain Maturity — Explanation,Interpretive Judgement Load — Explanation,Evaluation / Ground-Truth Availability — Explanation,Robustness Tractability — Explanation,Verification Cost — Explanation
"Log-likelihood keyword extraction (node vs. reference corpus, explicit LL threshold and minimum frequency cut-off)",Keyword Analysis,"Dunning, T. (1993). Accurate methods for the statistics of surprise and coincidence. Computational Linguistics, 19(1), 61–74.",8,8,10,10,10,10,10,10,10,2,8,9,3,Log-likelihood keyword extraction is straightforward for a human analyst with standard corpus tools and limited manual judgement.,Log-likelihood keyword extraction is a core method that can materially affect the study's substantive conclusions.,"Today's AI can automate most of Log-likelihood keyword extraction once the corpus, preprocessing, and parameters are specified.","Over the next decade, Log-likelihood keyword extraction is likely to become almost fully automatable under ordinary research conditions.","In principle, Log-likelihood keyword extraction could be almost completely automated if perfect models and tooling were available.",Published descriptions of Log-likelihood keyword extraction are usually structured enough for an LM to extract a machine-executable workflow.,"The literature on Log-likelihood keyword extraction usually reports the thresholds, windows, features, or labels needed to rerun it.","Once inputs and settings are fixed, Log-likelihood keyword extraction should return the same output on repeated runs.",Established corpus or NLP software can already execute Log-likelihood keyword extraction end to end with relatively little custom engineering.,Log-likelihood keyword extraction is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Replication success for Log-likelihood keyword extraction can be checked against published counts, rankings, or model outputs with fairly objective criteria.",Log-likelihood keyword extraction lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,AI output for Log-likelihood keyword extraction can be audited relatively cheaply by rerunning the pipeline or spot-checking results.
BIC-based keyword ranking (BIC as association measure),Keyword Analysis,"Wilson, A. (2013). Embracing Bayes factors for key item analysis in corpus linguistics. In M. Bieswanger & A. Koll-Stobbe (Eds.), New approaches to the study of linguistic variability. Peter Lang.",8,6,9,10,10,9,8,10,7,2,8,9,3,BIC-based keyword ranking (BIC as association measure) is straightforward for a human analyst with standard corpus tools and limited manual judgement.,BIC-based keyword ranking (BIC as association measure) is useful for the research design but usually supports a narrower analytic question than the main contribution.,"Today's AI can automate most of BIC-based keyword ranking (BIC as association measure) once the corpus, preprocessing, and parameters are specified.","Over the next decade, BIC-based keyword ranking (BIC as association measure) is likely to become almost fully automatable under ordinary research conditions.","In principle, BIC-based keyword ranking (BIC as association measure) could be almost completely automated if perfect models and tooling were available.",Published descriptions of BIC-based keyword ranking (BIC as association measure) are usually structured enough for an LM to extract a machine-executable workflow.,"The literature on BIC-based keyword ranking (BIC as association measure) usually reports the thresholds, windows, features, or labels needed to rerun it.","Once inputs and settings are fixed, BIC-based keyword ranking (BIC as association measure) should return the same output on repeated runs.","There are workable tools for BIC-based keyword ranking (BIC as association measure), but researchers still need some bespoke scripting or manual intervention.",BIC-based keyword ranking (BIC as association measure) is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Replication success for BIC-based keyword ranking (BIC as association measure) can be checked against published counts, rankings, or model outputs with fairly objective criteria.",BIC-based keyword ranking (BIC as association measure) lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,AI output for BIC-based keyword ranking (BIC as association measure) can be audited relatively cheaply by rerunning the pipeline or spot-checking results.
Multi-word keyword / n-gram keyness (bigrams or trigrams),Keyword Analysis,"O'Donnell, M. B. (2011). The adjusted frequency list: A method to produce cluster-sensitive frequency lists. ICAME Journal, 35, 135–169.",7,8,9,10,10,9,8,10,9,2,8,9,3,"Multi-word keyword / n-gram keyness (bigrams or trigrams) is feasible for a human analyst but requires noticeable setup, annotation, or statistical expertise.",Multi-word keyword / n-gram keyness (bigrams or trigrams) is a core method that can materially affect the study's substantive conclusions.,"Today's AI can automate most of Multi-word keyword / n-gram keyness (bigrams or trigrams) once the corpus, preprocessing, and parameters are specified.","Over the next decade, Multi-word keyword / n-gram keyness (bigrams or trigrams) is likely to become almost fully automatable under ordinary research conditions.","In principle, Multi-word keyword / n-gram keyness (bigrams or trigrams) could be almost completely automated if perfect models and tooling were available.",Published descriptions of Multi-word keyword / n-gram keyness (bigrams or trigrams) are usually structured enough for an LM to extract a machine-executable workflow.,"The literature on Multi-word keyword / n-gram keyness (bigrams or trigrams) usually reports the thresholds, windows, features, or labels needed to rerun it.","Once inputs and settings are fixed, Multi-word keyword / n-gram keyness (bigrams or trigrams) should return the same output on repeated runs.",Established corpus or NLP software can already execute Multi-word keyword / n-gram keyness (bigrams or trigrams) end to end with relatively little custom engineering.,Multi-word keyword / n-gram keyness (bigrams or trigrams) is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Replication success for Multi-word keyword / n-gram keyness (bigrams or trigrams) can be checked against published counts, rankings, or model outputs with fairly objective criteria.",Multi-word keyword / n-gram keyness (bigrams or trigrams) lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,AI output for Multi-word keyword / n-gram keyness (bigrams or trigrams) can be audited relatively cheaply by rerunning the pipeline or spot-checking results.
"Semantic category keyword clustering (e.g., post-hoc USAS tagging)",Keyword Analysis,"Rayson, P. (2008). From key words to key semantic domains. International Journal of Corpus Linguistics, 13(4), 519–549.",6,8,5,7,8,6,5,6,7,6,5,6,6,"Semantic category keyword clustering (e.g., post-hoc USAS tagging) is feasible for a human analyst but requires noticeable setup, annotation, or statistical expertise.","Semantic category keyword clustering (e.g., post-hoc USAS tagging) is a core method that can materially affect the study's substantive conclusions.","Today's AI can assist heavily with Semantic category keyword clustering (e.g., post-hoc USAS tagging) but still benefits from human oversight on setup or interpretation.","Over the next decade, AI should handle more of Semantic category keyword clustering (e.g., post-hoc USAS tagging) but humans will still matter for boundary cases.","Even under idealized conditions, Semantic category keyword clustering (e.g., post-hoc USAS tagging) would still retain some human role because theoretical choices shape the task.","An LM can recover much of the workflow for Semantic category keyword clustering (e.g., post-hoc USAS tagging), but important steps are often implicit or scattered across the paper.","Papers on Semantic category keyword clustering (e.g., post-hoc USAS tagging) often report some needed parameters but still leave consequential settings underspecified.","Semantic category keyword clustering (e.g., post-hoc USAS tagging) is only partly deterministic because preprocessing, sampling, or modeling choices can shift the output.","There are workable tools for Semantic category keyword clustering (e.g., post-hoc USAS tagging), but researchers still need some bespoke scripting or manual intervention.","Semantic category keyword clustering (e.g., post-hoc USAS tagging) mixes formal computation with meaningful human judgement about modeling or interpretation.","Semantic category keyword clustering (e.g., post-hoc USAS tagging) offers some objective checks, but exact success is only partly measurable against the published result.","Robustness testing is possible for Semantic category keyword clustering (e.g., post-hoc USAS tagging), but meaningful variations still require nontrivial analyst decisions.","Checking AI output for Semantic category keyword clustering (e.g., post-hoc USAS tagging) requires a moderate human audit rather than a quick spot-check."
Diachronic keyword comparison (keyness across two time periods),Keyword Analysis,"Baker, P. (2011). Times may change, but we will always have money: Diachronic variation in recent British English. Journal of English Linguistics, 39(1), 65–88.",8,8,9,10,10,9,8,10,9,2,8,9,3,Diachronic keyword comparison (keyness across two time periods) is straightforward for a human analyst with standard corpus tools and limited manual judgement.,Diachronic keyword comparison (keyness across two time periods) is a core method that can materially affect the study's substantive conclusions.,"Today's AI can automate most of Diachronic keyword comparison (keyness across two time periods) once the corpus, preprocessing, and parameters are specified.","Over the next decade, Diachronic keyword comparison (keyness across two time periods) is likely to become almost fully automatable under ordinary research conditions.","In principle, Diachronic keyword comparison (keyness across two time periods) could be almost completely automated if perfect models and tooling were available.",Published descriptions of Diachronic keyword comparison (keyness across two time periods) are usually structured enough for an LM to extract a machine-executable workflow.,"The literature on Diachronic keyword comparison (keyness across two time periods) usually reports the thresholds, windows, features, or labels needed to rerun it.","Once inputs and settings are fixed, Diachronic keyword comparison (keyness across two time periods) should return the same output on repeated runs.",Established corpus or NLP software can already execute Diachronic keyword comparison (keyness across two time periods) end to end with relatively little custom engineering.,Diachronic keyword comparison (keyness across two time periods) is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Replication success for Diachronic keyword comparison (keyness across two time periods) can be checked against published counts, rankings, or model outputs with fairly objective criteria.",Diachronic keyword comparison (keyness across two time periods) lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,AI output for Diachronic keyword comparison (keyness across two time periods) can be audited relatively cheaply by rerunning the pipeline or spot-checking results.
"MI-based collocation with fixed window (±3 span, explicit frequency threshold)",Collocation Analysis,"Church, K. W., & Hanks, P. (1990). Word association norms, mutual information, and lexicography. Computational Linguistics, 16(1), 22–29.",8,8,10,10,10,10,9,10,9,2,8,9,3,"MI-based collocation with fixed window (±3 span, explicit frequency threshold) is straightforward for a human analyst with standard corpus tools and limited manual judgement.","MI-based collocation with fixed window (±3 span, explicit frequency threshold) is a core method that can materially affect the study's substantive conclusions.","Today's AI can automate most of MI-based collocation with fixed window (±3 span, explicit frequency threshold) once the corpus, preprocessing, and parameters are specified.","Over the next decade, MI-based collocation with fixed window (±3 span, explicit frequency threshold) is likely to become almost fully automatable under ordinary research conditions.","In principle, MI-based collocation with fixed window (±3 span, explicit frequency threshold) could be almost completely automated if perfect models and tooling were available.","Published descriptions of MI-based collocation with fixed window (±3 span, explicit frequency threshold) are usually structured enough for an LM to extract a machine-executable workflow.","The literature on MI-based collocation with fixed window (±3 span, explicit frequency threshold) usually reports the thresholds, windows, features, or labels needed to rerun it.","Once inputs and settings are fixed, MI-based collocation with fixed window (±3 span, explicit frequency threshold) should return the same output on repeated runs.","Established corpus or NLP software can already execute MI-based collocation with fixed window (±3 span, explicit frequency threshold) end to end with relatively little custom engineering.","MI-based collocation with fixed window (±3 span, explicit frequency threshold) is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.","Replication success for MI-based collocation with fixed window (±3 span, explicit frequency threshold) can be checked against published counts, rankings, or model outputs with fairly objective criteria.","MI-based collocation with fixed window (±3 span, explicit frequency threshold) lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.","AI output for MI-based collocation with fixed window (±3 span, explicit frequency threshold) can be audited relatively cheaply by rerunning the pipeline or spot-checking results."
Log-Dice collocation ranking (±5 span),Collocation Analysis,"Rychlý, P. (2008). A lexicographer-friendly association score. In Proceedings of RASLAN 2008 (pp. 6–9). Masaryk University.",8,7,10,10,10,10,9,10,9,2,8,9,3,Log-Dice collocation ranking (±5 span) is straightforward for a human analyst with standard corpus tools and limited manual judgement.,Log-Dice collocation ranking (±5 span) is useful for the research design but usually supports a narrower analytic question than the main contribution.,"Today's AI can automate most of Log-Dice collocation ranking (±5 span) once the corpus, preprocessing, and parameters are specified.","Over the next decade, Log-Dice collocation ranking (±5 span) is likely to become almost fully automatable under ordinary research conditions.","In principle, Log-Dice collocation ranking (±5 span) could be almost completely automated if perfect models and tooling were available.",Published descriptions of Log-Dice collocation ranking (±5 span) are usually structured enough for an LM to extract a machine-executable workflow.,"The literature on Log-Dice collocation ranking (±5 span) usually reports the thresholds, windows, features, or labels needed to rerun it.","Once inputs and settings are fixed, Log-Dice collocation ranking (±5 span) should return the same output on repeated runs.",Established corpus or NLP software can already execute Log-Dice collocation ranking (±5 span) end to end with relatively little custom engineering.,Log-Dice collocation ranking (±5 span) is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Replication success for Log-Dice collocation ranking (±5 span) can be checked against published counts, rankings, or model outputs with fairly objective criteria.",Log-Dice collocation ranking (±5 span) lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,AI output for Log-Dice collocation ranking (±5 span) can be audited relatively cheaply by rerunning the pipeline or spot-checking results.
"Asymmetric window collocation (e.g., L3R1 non-symmetric span)",Collocation Analysis,"Brezina, V., McEnery, T., & Wattam, S. (2015). Collocations in context: A new perspective on collocation networks. International Journal of Corpus Linguistics, 20(2), 139–173.",7,7,9,10,10,9,10,10,9,2,8,9,3,"Asymmetric window collocation (e.g., L3R1 non-symmetric span) is feasible for a human analyst but requires noticeable setup, annotation, or statistical expertise.","Asymmetric window collocation (e.g., L3R1 non-symmetric span) is useful for the research design but usually supports a narrower analytic question than the main contribution.","Today's AI can automate most of Asymmetric window collocation (e.g., L3R1 non-symmetric span) once the corpus, preprocessing, and parameters are specified.","Over the next decade, Asymmetric window collocation (e.g., L3R1 non-symmetric span) is likely to become almost fully automatable under ordinary research conditions.","In principle, Asymmetric window collocation (e.g., L3R1 non-symmetric span) could be almost completely automated if perfect models and tooling were available.","Published descriptions of Asymmetric window collocation (e.g., L3R1 non-symmetric span) are usually structured enough for an LM to extract a machine-executable workflow.","The literature on Asymmetric window collocation (e.g., L3R1 non-symmetric span) usually reports the thresholds, windows, features, or labels needed to rerun it.","Once inputs and settings are fixed, Asymmetric window collocation (e.g., L3R1 non-symmetric span) should return the same output on repeated runs.","Established corpus or NLP software can already execute Asymmetric window collocation (e.g., L3R1 non-symmetric span) end to end with relatively little custom engineering.","Asymmetric window collocation (e.g., L3R1 non-symmetric span) is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.","Replication success for Asymmetric window collocation (e.g., L3R1 non-symmetric span) can be checked against published counts, rankings, or model outputs with fairly objective criteria.","Asymmetric window collocation (e.g., L3R1 non-symmetric span) lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.","AI output for Asymmetric window collocation (e.g., L3R1 non-symmetric span) can be audited relatively cheaply by rerunning the pipeline or spot-checking results."
Collocational profile comparison across registers,Collocation Analysis,"Xiao, R., & McEnery, T. (2006). Collocation, semantic prosody, and near synonymy: A cross-linguistic perspective. Applied Linguistics, 27(1), 103–129.",7,8,8,10,10,9,8,10,9,4,8,9,3,"Collocational profile comparison across registers is feasible for a human analyst but requires noticeable setup, annotation, or statistical expertise.",Collocational profile comparison across registers is a core method that can materially affect the study's substantive conclusions.,"Today's AI can automate most of Collocational profile comparison across registers once the corpus, preprocessing, and parameters are specified.","Over the next decade, Collocational profile comparison across registers is likely to become almost fully automatable under ordinary research conditions.","In principle, Collocational profile comparison across registers could be almost completely automated if perfect models and tooling were available.",Published descriptions of Collocational profile comparison across registers are usually structured enough for an LM to extract a machine-executable workflow.,"The literature on Collocational profile comparison across registers usually reports the thresholds, windows, features, or labels needed to rerun it.","Once inputs and settings are fixed, Collocational profile comparison across registers should return the same output on repeated runs.",Established corpus or NLP software can already execute Collocational profile comparison across registers end to end with relatively little custom engineering.,Collocational profile comparison across registers is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Replication success for Collocational profile comparison across registers can be checked against published counts, rankings, or model outputs with fairly objective criteria.",Collocational profile comparison across registers lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,AI output for Collocational profile comparison across registers can be audited relatively cheaply by rerunning the pipeline or spot-checking results.
Second-order collocation (collocation of collocates),Collocation Analysis,"Williams, G. (1998). Collocational networks: Interlocking patterns of lexis in a corpus of plant biology research articles. International Journal of Corpus Linguistics, 3(1), 151–171.",5,8,7,9,10,7,6,8,6,4,7,8,6,"Second-order collocation (collocation of collocates) is feasible for a human analyst but requires noticeable setup, annotation, or statistical expertise.",Second-order collocation (collocation of collocates) is a core method that can materially affect the study's substantive conclusions.,Today's AI can assist heavily with Second-order collocation (collocation of collocates) but still benefits from human oversight on setup or interpretation.,"Over the next decade, Second-order collocation (collocation of collocates) is likely to become almost fully automatable under ordinary research conditions.","In principle, Second-order collocation (collocation of collocates) could be almost completely automated if perfect models and tooling were available.","An LM can recover much of the workflow for Second-order collocation (collocation of collocates), but important steps are often implicit or scattered across the paper.",Papers on Second-order collocation (collocation of collocates) often report some needed parameters but still leave consequential settings underspecified.,"Once inputs and settings are fixed, Second-order collocation (collocation of collocates) should return the same output on repeated runs.","There are workable tools for Second-order collocation (collocation of collocates), but researchers still need some bespoke scripting or manual intervention.",Second-order collocation (collocation of collocates) is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Second-order collocation (collocation of collocates) offers some objective checks, but exact success is only partly measurable against the published result.",Second-order collocation (collocation of collocates) lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,Checking AI output for Second-order collocation (collocation of collocates) requires a moderate human audit rather than a quick spot-check.
