task,area of research,notable human research,Human Feasibility,Research Significance,Current AI Replaceability,AI Replaceability in 10 Years,Theoretical Maximum AI Replaceability,Specification Extractability,Parameter Explicitness,Execution Determinism,Tool-chain Maturity,Interpretive Judgement Load,Evaluation / Ground-Truth Availability,Robustness Tractability,Verification Cost,Human Feasibility — Explanation,Research Significance — Explanation,Current AI Replaceability — Explanation,AI Replaceability in 10 Years — Explanation,Theoretical Maximum AI Replaceability — Explanation,Specification Extractability — Explanation,Parameter Explicitness — Explanation,Execution Determinism — Explanation,Tool-chain Maturity — Explanation,Interpretive Judgement Load — Explanation,Evaluation / Ground-Truth Availability — Explanation,Robustness Tractability — Explanation,Verification Cost — Explanation
"Log-likelihood keyword extraction (node vs. reference corpus, explicit LL threshold and minimum frequency cut-off)",Keyword Analysis,"Dunning, T. (1993). Accurate methods for the statistics of surprise and coincidence. Computational Linguistics, 19(1), 61–74.",9,8,9,10,10,9,9,10,10,2,10,10,2,A corpus linguist can readily execute LL extraction using standard tools like AntConc or WordSmith given explicit thresholds.,LL keyword extraction is foundational to corpus comparison studies and underpins a large share of corpus-based findings.,Current AI can fully automate LL computation given tokenised corpora and explicit thresholds with no human intervention needed.,Fully automatable end-to-end within a decade as corpus pipelines mature further.,"The task is mathematically closed-form with fully specifiable inputs and outputs, leaving no theoretical barrier to full automation.","The LL formula, window parameters, and frequency cut-offs are explicitly documented in Dunning (1993) and tool manuals.","Threshold, frequency minimum, and corpus pair are typically reported explicitly in publications using this method.","Given identical corpora and parameters, LL scores are deterministic floating-point computations with no stochastic element.","Libraries such as NLTK, AntConc scripts, and corpus-comparison packages implement LL extraction out of the box.",No qualitative judgement is required beyond choosing parameters; the computation is entirely arithmetic.,Replication success can be verified by exact numerical match of top-N keyword lists and LL scores against published tables.,"Parameters such as span, frequency floor, and corpus size can be systematically varied to map keyness sensitivity.","An AI output requires only automated comparison of ranked keyword lists against published figures, needing minimal human audit time."
BIC-based keyword ranking (BIC as association measure),Keyword Analysis,"Wilson, A. (2013). Embracing Bayes factors for key item analysis in corpus linguistics. In M. Bieswanger & A. Koll-Stobbe (Eds.), New approaches to the study of linguistic variability. Peter Lang.",8,7,9,10,10,8,8,10,9,2,10,10,2,BIC-based ranking is straightforward for a trained corpus linguist using standard statistical software.,BIC as an association measure offers a statistically principled alternative and is increasingly cited in keyword analysis.,BIC computation is a closed-form formula that current AI can execute automatically once corpus frequencies are obtained.,Full automation is inevitable as Bayesian corpus metrics become standard pipeline components.,"BIC ranking is fully deterministic given corpus frequencies, so theoretical maximum replaceability is complete.",Wilson (2013) details the BIC formula and its parameterisation clearly enough for automated parsing.,Corpus sizes and frequency counts needed for BIC are almost always reported in the methods section.,"BIC is a deterministic function of observed and expected frequencies, producing identical results on identical inputs.",R packages such as quanteda and Python corpus tools can compute BIC scores with minor custom scripting.,The task requires no interpretive judgement; it is a direct mathematical ranking of frequency ratios.,BIC keyword lists can be numerically verified against published ranked lists from the same corpus.,Sensitivity to frequency thresholds and corpus size can be systematically explored by varying those parameters.,"Verification reduces to automated list comparison, requiring negligible human audit time."
Multi-word keyword / n-gram keyness (bigrams or trigrams),Keyword Analysis,"O'Donnell, M. B. (2011). The adjusted frequency list: A method to produce cluster-sensitive frequency lists. ICAME Journal, 35, 135–169.",8,7,9,10,10,9,8,10,9,2,10,10,2,N-gram keyness extraction is feasible for corpus linguists using tools like AntConc or SketchEngine's n-gram modules.,"Multi-word keyness extends single-word approaches to phrasal patterns, adding important nuance to keyword analysis.",Current AI can enumerate bigram/trigram frequencies and apply keyness statistics fully automatically.,Decade-ahead improvements in parsing and n-gram indexing will make this entirely routine.,The task is a direct extension of unigram keyness to higher-order n-grams with no theoretical barrier to automation.,"N-gram extraction parameters (n, frequency floor, association measure) are specified in the cited literature.",Minimum frequency thresholds and n values are typically stated explicitly in papers using this method.,N-gram frequency counts are deterministic given a fixed tokenisation and corpus; keyness scores follow deterministically.,"SketchEngine, AntConc, and corpus Python libraries all support n-gram frequency and keyness computation.",No interpretive load is needed; the task is purely enumerative with a fixed statistical criterion.,Replication can be checked by matching top-N n-gram keyword lists and scores against published output.,"Varying n, frequency floor, or reference corpus size provides systematic sensitivity mapping.",Automated list diffing against published tables allows rapid verification with minimal human involvement.
"Semantic category keyword clustering (e.g., post-hoc USAS tagging)",Keyword Analysis,"Rayson, P. (2008). From key words to key semantic domains. International Journal of Corpus Linguistics, 13(4), 519–549.",7,7,7,9,9,7,7,8,8,5,8,8,4,"Clustering keywords by USAS semantic category requires running a tagger and grouping outputs, feasible but tool-dependent.","Semantic clustering moves beyond surface keyness to thematic patterning, adding interpretive value to keyword analysis.","Current AI can run USAS tagging and group keywords semi-automatically, though tag disambiguation reduces perfect replaceability.",Improved neural semantic taggers over the next decade will raise automation to near-full for tagging and grouping.,Theoretical maximum is slightly below 10 because domain-specific USAS tag ambiguity may always require some human validation.,"Rayson (2008) describes the USAS tagging pipeline, but tag ambiguity resolution is only partially specified.","The USAS tagset is published, but which tag to apply to ambiguous lexical items is often left to tagger defaults.","USAS tagging introduces probabilistic disambiguation, meaning identical inputs can yield slightly different clusterings.","The USAS CLAWS tagger is a mature tool, but integration with custom keyness workflows requires bespoke scripting.",Some judgement is needed to interpret and label merged USAS semantic categories meaningfully.,"Cluster memberships can be compared to published category lists, though category boundary decisions introduce minor uncertainty.",Robustness to tagger settings and tag merging schemes can be explored by varying USAS parameters systematically.,Human review of tag assignments for boundary cases adds moderate audit overhead compared to purely arithmetic tasks.
Diachronic keyword comparison (keyness across two time periods),Keyword Analysis,"Baker, P. (2011). Times may change, but we will always have money: Diachronic variation in recent British English. Journal of English Linguistics, 39(1), 65–88.",8,8,8,10,10,8,8,9,9,3,9,9,3,Diachronic keyword comparison is straightforward for researchers with access to period-divided corpora and keyness tools.,Tracking lexical change across time periods is central to historical and sociolinguistic corpus studies.,Current AI can split corpora by period and compute keyness statistics automatically given pre-divided data.,"With improved diachronic corpus APIs, this will be fully automated within a decade.","The task is arithmetically closed once corpora are partitioned by period, giving near-complete theoretical replaceability.","Baker (2011) and similar studies specify the period division and keyness measure used, enabling automated parsing.","Corpus sizes and date boundaries are typically reported, allowing AI to reproduce the exact comparison.",Keyness computations are deterministic given the corpus partition and chosen statistic.,Corpus tools like CQPweb and quanteda support time-slice frequency extraction and keyness computation natively.,Some interpretive effort is needed to contextualise which keywords reflect genuine diachronic shifts versus noise.,Keyword lists from both periods can be numerically matched against published tables to verify replication.,Systematic variation of the time-slice boundary or keyness threshold maps sensitivity of diachronic findings.,"Verification requires comparing two ranked lists against publication output, adding only modest human audit time."
"MI-based collocation with fixed window (±3 span, explicit frequency threshold)",Collocation Analysis,"Church, K. W., & Hanks, P. (1990). Word association norms, mutual information, and lexicography. Computational Linguistics, 16(1), 22–29.",9,8,9,10,10,9,9,10,10,2,10,10,2,MI-based collocation with a fixed window is a standard corpus task achievable by researchers using AntConc or SketchEngine.,MI collocations are foundational to lexicographic and corpus semantic research and widely cited as a baseline measure.,Current AI can compute MI scores for all word pairs in a window with no human input once parameters are set.,"Full pipeline automation is well within reach in the next decade, likely already achievable with minor scripting.","MI collocation is mathematically defined and fully specifiable, making theoretical maximum replaceability complete.","Church & Hanks (1990) and tool documentation specify the MI formula, window size, and frequency threshold explicitly.","Span, frequency floor, and MI formula variant are reported in virtually every paper using this method.",MI scores are deterministic floating-point functions of observed and expected co-occurrence counts.,"Every major corpus platform (AntConc, SketchEngine, Sketch) and Python NLP library supports MI collocation.",No interpretive judgement is required; rankings emerge entirely from arithmetic frequency ratios.,Replication is verifiable by exact numerical match of collocate lists and MI scores against published tables.,"Window size, frequency threshold, and span asymmetry can be varied systematically to map MI sensitivity.","Verification reduces to automated numerical comparison, requiring minimal human audit time."
Log-Dice collocation ranking (±5 span),Collocation Analysis,"Rychlý, P. (2008). A lexicographer-friendly association score. In Proceedings of RASLAN 2008 (pp. 6–9). Masaryk University.",9,8,9,10,10,9,9,10,10,2,10,10,2,"Log-Dice collocations are routinely extracted by corpus linguists using SketchEngine, which implements the measure natively.",Log-Dice is a standard lexicographic association measure used across major corpus and dictionary projects.,Current AI can compute Log-Dice scores end-to-end given a tokenised corpus and window definition.,Full automation is already essentially achievable and will be standard pipeline functionality within ten years.,Log-Dice is a closed-form formula making theoretical maximum replaceability complete.,The Log-Dice formula and ±5 window are explicitly defined in Rychlý (2008) and SketchEngine documentation.,Span and minimum frequency parameters are consistently reported in publications using this measure.,Log-Dice produces identical scores for identical co-occurrence counts with no stochastic element.,SketchEngine implements Log-Dice natively; Python implementations are readily available in corpus toolkits.,No interpretive judgement is needed; the measure is a purely computational ranking criterion.,Collocate lists and Log-Dice scores can be numerically matched against published SketchEngine output.,Varying the window span or frequency threshold provides direct sensitivity mapping of collocate rankings.,Automated list comparison against published word sketches provides near-zero-cost verification.
"Asymmetric window collocation (e.g., L3R1 non-symmetric span)",Collocation Analysis,"Brezina, V., McEnery, T., & Wattam, S. (2015). Collocations in context: A new perspective on collocation networks. International Journal of Corpus Linguistics, 20(2), 139–173.",8,7,9,10,10,9,9,10,10,2,10,10,2,Asymmetric-window collocation is a minor variant of standard collocation and is feasible for experienced corpus linguists.,"Asymmetric windows test directional co-occurrence hypotheses, adding methodological refinement to collocation research.","Current AI can implement any window asymmetry given the numeric L and R parameters, making it fully automatable.",Decade-ahead improvements will trivialise arbitrary window configurations as parameters in standard APIs.,"Given explicit L and R window values, theoretical maximum replaceability is complete.",Brezina et al. (2015) and tool documentation describe asymmetric window parameters with sufficient precision.,"L and R span values are explicitly stated in papers using this method, allowing exact replication.",Asymmetric co-occurrence counts are deterministic given window specification and tokenised corpus.,Major corpus platforms support custom L/R window spans; Python scripts can implement any asymmetry trivially.,No interpretive judgement is required once the directional hypothesis and window are defined.,Replication success is verifiable by numerical match of asymmetric collocate lists against published output.,Systematic grid search over L and R spans quantifies how directional bias affects collocate rankings.,Automated comparison of ranked collocate lists against published tables keeps verification cost minimal.
Collocational profile comparison across registers,Collocation Analysis,"Xiao, R., & McEnery, T. (2006). Collocation, semantic prosody, and near synonymy: A cross-linguistic perspective. Applied Linguistics, 27(1), 103–129.",7,8,8,9,9,7,7,9,9,5,9,9,3,"Comparing collocational profiles across registers requires corpus access and tool proficiency, making it moderately demanding.",Cross-register collocation comparison reveals register-specific lexical patterns central to corpus-based lexicography.,"Current AI can compute register-specific MI or Log-Dice profiles and compare them automatically, with partial interpretive gaps.",Improved register-classification and comparison tools will push automation close to full within a decade.,Theoretical maximum falls slightly short of 10 because discourse-level interpretation of cross-register differences may require human expertise.,"Xiao & McEnery (2006) describe the association measure, window, and register split with reasonable precision.","Association measure parameters and corpus divisions are reported, though register membership criteria can be implicit.",Statistical profiles are deterministic given identical corpus partitions and association measure.,SketchEngine and CQPweb support multi-corpus and multi-register collocation comparison natively.,Some interpretive effort is needed to explain why cross-register differences in collocate rank are linguistically meaningful.,Numerical comparison of collocate rankings across registers against published tables enables objective verification.,Systematically swapping register boundaries or association measures maps the sensitivity of cross-register contrasts.,"Verification involves comparing two ranked lists per register against published data, adding modest audit effort."
Second-order collocation (collocation of collocates),Collocation Analysis,"Williams, G. (1998). Collocational networks: Interlocking patterns of lexis in a corpus of plant biology research articles. International Journal of Corpus Linguistics, 3(1), 151–171.",6,7,8,9,9,7,7,9,8,4,9,9,3,Second-order collocation requires iterative querying and is more demanding but still feasible for skilled corpus linguists.,"Second-order collocation reveals semantic networks that go beyond direct co-occurrence, offering deeper lexical insight.","Current AI can extract first-order collocates and then their collocates automatically, though semantic coherence checking lags.","Within ten years, network-based collocation tools will automate second-order extraction reliably.",Theoretical maximum is slightly below 10 because interpreting second-order networks carries inherent ambiguity.,"Williams (1998) outlines the procedure for second-order collocation extraction, though network interpretation is less formalised.","First-order parameters are explicit, but criteria for filtering second-order collocates are sometimes underspecified.","Second-order frequency counts are deterministic, but network visualisation and filtering choices introduce minor variability.",Python igraph or NetworkX combined with corpus frequency tools can implement second-order collocation pipelines.,Interpreting which second-order links are linguistically meaningful requires moderate expert judgement.,Replication of second-order networks can be partially verified by comparing shared nodes and edge weights.,Threshold variation for first- and second-order inclusion maps how network density changes under different criteria.,Validating network topology against published figures requires moderate human review of edge membership.
