task,area of research,notable human research,1. Human Feasibility,2. Research Significance,3. Current AI Replaceability,4. AI Replaceability in 10 Years,5. Theoretical Maximum AI Replaceability,6. Specification Extractability,7. Parameter Explicitness,8. Execution Determinism,9. Tool-chain Maturity,10. Interpretive Judgement Load,11. Evaluation / Ground-Truth Availability,12. Robustness Tractability,13. Verification Cost,14. Human Feasibility - Explanation,15. Research Significance - Explanation,16. Current AI Replaceability - Explanation,17. AI Replaceability in 10 Years - Explanation,18. Theoretical Maximum AI Replaceability - Explanation,19. Specification Extractability - Explanation,20. Parameter Explicitness - Explanation,21. Execution Determinism - Explanation,22. Tool-chain Maturity - Explanation,23. Interpretive Judgement Load - Explanation,24. Evaluation / Ground-Truth Availability - Explanation,25. Robustness Tractability - Explanation,26. Verification Cost - Explanation
"Log-likelihood keyword extraction (node vs. reference corpus, explicit LL threshold and minimum frequency cut-off)",Keyword Analysis,"Dunning, T. (1993). Accurate methods for the statistics of surprise and coincidence. Computational Linguistics, 19(1), 61–74.",7,9,9,10,10,9,9,10,9,2,9,9,2,"Humans can perform this task through manual counting, though it is extremely tedious and time-consuming at scale.",This fundamental analytical procedure is a cornerstone of modern corpus linguistic methodology and discovery.,Current AI can easily generate and execute the scripts required for this highly structured and mathematical task.,"Within a decade, AI systems will flawlessly automate this task end-to-end with perfect accuracy.","Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","The parameters and thresholds for this task are usually explicitly stated in methodology sections, making extraction straightforward.","Target literature standardly reports the exact mathematical parameters (e.g., spans, cut-offs) needed for replication.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Highly established, robust tools and standard libraries (e.g., AntConc, R packages) exist to execute this end-to-end.","This task is primarily statistical and computational, requiring minimal qualitative interpretation during the execution phase.",AI replication success can be objectively and mathematically verified against published word lists or statistical tables.,An AI can trivially loop through varying statistical thresholds and span parameters to systematically map finding sensitivity.,A human can quickly verify the output by checking standard statistical metrics and top-N lists against expectations.
BIC-based keyword ranking (BIC as association measure),Keyword Analysis,"Wilson, A. (2013). Embracing Bayes factors for key item analysis in corpus linguistics. In M. Bieswanger & A. Koll-Stobbe (Eds.), New approaches to the study of linguistic variability. Peter Lang.",8,9,7,9,10,7,7,10,9,2,9,9,2,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,This fundamental analytical procedure is a cornerstone of modern corpus linguistic methodology and discovery.,Current AI can handle the technical implementation but may require human guidance for precise theoretical parameterisation.,Future AI agents will likely master the standard parameters and contextual nuances needed to automate this reliably.,"Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Highly established, robust tools and standard libraries (e.g., AntConc, R packages) exist to execute this end-to-end.","This task is primarily statistical and computational, requiring minimal qualitative interpretation during the execution phase.",AI replication success can be objectively and mathematically verified against published word lists or statistical tables.,An AI can trivially loop through varying statistical thresholds and span parameters to systematically map finding sensitivity.,A human can quickly verify the output by checking standard statistical metrics and top-N lists against expectations.
Multi-word keyword / n-gram keyness (bigrams or trigrams),Keyword Analysis,"O'Donnell, M. B. (2011). The adjusted frequency list: A method to produce cluster-sensitive frequency lists. ICAME Journal, 35, 135–169.",8,9,7,9,10,7,7,10,9,2,9,9,2,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,This fundamental analytical procedure is a cornerstone of modern corpus linguistic methodology and discovery.,Current AI can handle the technical implementation but may require human guidance for precise theoretical parameterisation.,Future AI agents will likely master the standard parameters and contextual nuances needed to automate this reliably.,"Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Highly established, robust tools and standard libraries (e.g., AntConc, R packages) exist to execute this end-to-end.","This task is primarily statistical and computational, requiring minimal qualitative interpretation during the execution phase.",AI replication success can be objectively and mathematically verified against published word lists or statistical tables.,An AI can trivially loop through varying statistical thresholds and span parameters to systematically map finding sensitivity.,A human can quickly verify the output by checking standard statistical metrics and top-N lists against expectations.
"Semantic category keyword clustering (e.g., post-hoc USAS tagging)",Keyword Analysis,"Rayson, P. (2008). From key words to key semantic domains. International Journal of Corpus Linguistics, 13(4), 519–549.",8,9,4,6,10,5,4,4,9,9,9,9,2,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,This fundamental analytical procedure is a cornerstone of modern corpus linguistic methodology and discovery.,Current AI struggles with the nuanced contextual and cultural interpretation required for this meaning-driven analysis.,"While improving, highly subjective and deeply contextual human interpretation will remain challenging to fully automate.","Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Methodological descriptions for this task often lack explicit procedural steps, relying heavily on implicit researcher knowledge.",Authors often fail to explicitly document the qualitative coding criteria and subjective thresholds applied during the analysis.,"Execution relies on probabilistic models or subjective human judgment, meaning identical inputs rarely produce identical outputs.","Highly established, robust tools and standard libraries (e.g., AntConc, R packages) exist to execute this end-to-end.","The core of this task requires heavy contextual interpretation, theoretical reasoning, and qualitative human judgment.",AI replication success can be objectively and mathematically verified against published word lists or statistical tables.,An AI can trivially loop through varying statistical thresholds and span parameters to systematically map finding sensitivity.,A human can quickly verify the output by checking standard statistical metrics and top-N lists against expectations.
Diachronic keyword comparison (keyness across two time periods),Keyword Analysis,"Baker, P. (2011). Times may change, but we will always have money: Diachronic variation in recent British English. Journal of English Linguistics, 39(1), 65–88.",8,9,7,9,10,7,7,10,9,2,9,9,2,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,This fundamental analytical procedure is a cornerstone of modern corpus linguistic methodology and discovery.,Current AI can handle the technical implementation but may require human guidance for precise theoretical parameterisation.,Future AI agents will likely master the standard parameters and contextual nuances needed to automate this reliably.,"Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Highly established, robust tools and standard libraries (e.g., AntConc, R packages) exist to execute this end-to-end.","This task is primarily statistical and computational, requiring minimal qualitative interpretation during the execution phase.",AI replication success can be objectively and mathematically verified against published word lists or statistical tables.,An AI can trivially loop through varying statistical thresholds and span parameters to systematically map finding sensitivity.,A human can quickly verify the output by checking standard statistical metrics and top-N lists against expectations.
"MI-based collocation with fixed window (±3 span, explicit frequency threshold)",Collocation Analysis,"Church, K. W., & Hanks, P. (1990). Word association norms, mutual information, and lexicography. Computational Linguistics, 16(1), 22–29.",8,9,9,10,10,9,9,10,9,2,9,9,2,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,This fundamental analytical procedure is a cornerstone of modern corpus linguistic methodology and discovery.,Current AI can easily generate and execute the scripts required for this highly structured and mathematical task.,"Within a decade, AI systems will flawlessly automate this task end-to-end with perfect accuracy.","Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","The parameters and thresholds for this task are usually explicitly stated in methodology sections, making extraction straightforward.","Target literature standardly reports the exact mathematical parameters (e.g., spans, cut-offs) needed for replication.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Highly established, robust tools and standard libraries (e.g., AntConc, R packages) exist to execute this end-to-end.","This task is primarily statistical and computational, requiring minimal qualitative interpretation during the execution phase.",AI replication success can be objectively and mathematically verified against published word lists or statistical tables.,An AI can trivially loop through varying statistical thresholds and span parameters to systematically map finding sensitivity.,A human can quickly verify the output by checking standard statistical metrics and top-N lists against expectations.
Log-Dice collocation ranking (±5 span),Collocation Analysis,"Rychlý, P. (2008). A lexicographer-friendly association score. In Proceedings of RASLAN 2008 (pp. 6–9). Masaryk University.",8,9,9,10,10,9,9,10,9,2,9,9,2,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,This fundamental analytical procedure is a cornerstone of modern corpus linguistic methodology and discovery.,Current AI can easily generate and execute the scripts required for this highly structured and mathematical task.,"Within a decade, AI systems will flawlessly automate this task end-to-end with perfect accuracy.","Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","The parameters and thresholds for this task are usually explicitly stated in methodology sections, making extraction straightforward.","Target literature standardly reports the exact mathematical parameters (e.g., spans, cut-offs) needed for replication.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Highly established, robust tools and standard libraries (e.g., AntConc, R packages) exist to execute this end-to-end.","This task is primarily statistical and computational, requiring minimal qualitative interpretation during the execution phase.",AI replication success can be objectively and mathematically verified against published word lists or statistical tables.,An AI can trivially loop through varying statistical thresholds and span parameters to systematically map finding sensitivity.,A human can quickly verify the output by checking standard statistical metrics and top-N lists against expectations.
"Asymmetric window collocation (e.g., L3R1 non-symmetric span)",Collocation Analysis,"Brezina, V., McEnery, T., & Wattam, S. (2015). Collocations in context: A new perspective on collocation networks. International Journal of Corpus Linguistics, 20(2), 139–173.",8,9,9,10,10,9,9,10,9,2,9,9,2,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,This fundamental analytical procedure is a cornerstone of modern corpus linguistic methodology and discovery.,Current AI can easily generate and execute the scripts required for this highly structured and mathematical task.,"Within a decade, AI systems will flawlessly automate this task end-to-end with perfect accuracy.","Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","The parameters and thresholds for this task are usually explicitly stated in methodology sections, making extraction straightforward.","Target literature standardly reports the exact mathematical parameters (e.g., spans, cut-offs) needed for replication.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Highly established, robust tools and standard libraries (e.g., AntConc, R packages) exist to execute this end-to-end.","This task is primarily statistical and computational, requiring minimal qualitative interpretation during the execution phase.",AI replication success can be objectively and mathematically verified against published word lists or statistical tables.,An AI can trivially loop through varying statistical thresholds and span parameters to systematically map finding sensitivity.,A human can quickly verify the output by checking standard statistical metrics and top-N lists against expectations.
Collocational profile comparison across registers,Collocation Analysis,"Xiao, R., & McEnery, T. (2006). Collocation, semantic prosody, and near synonymy: A cross-linguistic perspective. Applied Linguistics, 27(1), 103–129.",8,9,9,10,10,7,7,10,9,2,9,9,2,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,This fundamental analytical procedure is a cornerstone of modern corpus linguistic methodology and discovery.,Current AI can easily generate and execute the scripts required for this highly structured and mathematical task.,"Within a decade, AI systems will flawlessly automate this task end-to-end with perfect accuracy.","Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Highly established, robust tools and standard libraries (e.g., AntConc, R packages) exist to execute this end-to-end.","This task is primarily statistical and computational, requiring minimal qualitative interpretation during the execution phase.",AI replication success can be objectively and mathematically verified against published word lists or statistical tables.,An AI can trivially loop through varying statistical thresholds and span parameters to systematically map finding sensitivity.,A human can quickly verify the output by checking standard statistical metrics and top-N lists against expectations.
Second-order collocation (collocation of collocates),Collocation Analysis,"Williams, G. (1998). Collocational networks: Interlocking patterns of lexis in a corpus of plant biology research articles. International Journal of Corpus Linguistics, 3(1), 151–171.",8,9,9,10,10,7,7,10,9,2,9,9,2,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,This fundamental analytical procedure is a cornerstone of modern corpus linguistic methodology and discovery.,Current AI can easily generate and execute the scripts required for this highly structured and mathematical task.,"Within a decade, AI systems will flawlessly automate this task end-to-end with perfect accuracy.","Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Highly established, robust tools and standard libraries (e.g., AntConc, R packages) exist to execute this end-to-end.","This task is primarily statistical and computational, requiring minimal qualitative interpretation during the execution phase.",AI replication success can be objectively and mathematically verified against published word lists or statistical tables.,An AI can trivially loop through varying statistical thresholds and span parameters to systematically map finding sensitivity.,A human can quickly verify the output by checking standard statistical metrics and top-N lists against expectations.
